index,score,label
22425,0.9543872250379178,-1
26377,0.9528551015168536,-1
24806,0.9504273729837699,-1
14,0.9493648639888567,-1
7060,0.9487942177765424,-1
21472,0.9480985901647714,-1
27026,0.9477713757926411,-1
22590,0.9471014729257843,-1
1719,0.9469692221822207,-1
21956,0.946455817513211,-1
23237,0.9459985580759849,-1
24411,0.9441538029036184,-1
24087,0.9441538029036184,-1
24473,0.9441538029036184,-1
1378,0.9434469711611093,-1
24700,0.9430381141186263,-1
24931,0.9429542333250789,-1
25084,0.9426818063230367,-1
21613,0.9420925717981841,-1
23147,0.9410345903976942,-1
22000,0.9409502073090279,-1
22578,0.9406946133760706,-1
23200,0.9387334358844116,-1
22961,0.9374900961925542,-1
21695,0.9374751989294804,-1
22190,0.9374202931960574,-1
22901,0.9356317017709952,-1
27907,0.9341856650768172,-1
22125,0.9340348298516645,-1
1163,0.9335458696263116,-1
1713,0.9321772525093476,-1
882,0.9316826137034292,-1
1412,0.9304714289379011,-1
16898,0.9304239471013147,-1
21651,0.9288717333862998,-1
22193,0.9285987731354531,-1
1731,0.9284383050414715,-1
27893,0.9282899059337021,-1
27168,0.9271584846738553,-1
23373,0.925778178109947,-1
21883,0.9256522575848029,-1
1294,0.925391564186914,-1
24063,0.9238197180327734,-1
1669,0.9236926371978645,-1
21728,0.9229079244267954,-1
25242,0.9220127605396857,-1
24283,0.9216885520303028,-1
24797,0.9200777535529765,-1
27892,0.9197898051970593,-1
1299,0.9156253048369947,-1
28019,0.913302327605635,-1
88,0.9122834946152278,-1
1492,0.9119361204234654,-1
22271,0.9115307013648337,-1
21560,0.9105536345737061,-1
22124,0.9093742920106704,-1
26443,0.909354357478601,-1
1658,0.9089901724439965,-1
22762,0.9082958424450788,-1
23345,0.9082009960185914,-1
1172,0.9081703924086896,-1
1679,0.9078455336506215,-1
21500,0.9073249037020436,-1
23229,0.9070391151576791,-1
27354,0.9069782459092062,-1
1685,0.9059671600654353,-1
26464,0.9051395492223564,-1
25989,0.9050013495298446,-1
22998,0.9048017991244498,-1
22554,0.9045581983067563,-1
22589,0.9039967590050848,-1
24692,0.9035127302183137,-1
25141,0.9033387102387359,-1
1189,0.9032474399679379,-1
24632,0.9030981074033226,-1
24625,0.9030981074033226,-1
24222,0.9030981074033226,-1
2183,0.9017407948290962,-1
24228,0.9012660914876234,-1
1633,0.9005273499493421,-1
22913,0.8985512821352506,-1
25304,0.8981170251736497,-1
27724,0.8974474995137726,-1
324,0.896732428669993,-1
21930,0.8957243134427336,-1
21839,0.8955844061130787,-1
1381,0.8954089069682631,-1
23152,0.894263272678084,-1
